# File Name: /Volumes/SHARED/Mallory/data/2023/12-23/IAV_burstsize_12-11-23/burstsize_ost_qs3_2023-12-13-112357_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272321126
# Instrument Serial Number: 272321126
# Heated Cover Serial Number:
# Block Serial Number: 33160298
# Run Start Date/Time: 2023-12-13 11:54:12 AM CST
# Run End Date/Time: 2023-12-13 01:49:43 PM CST
# Run Duration: 115 minutes 30 seconds
# Sample Volume: 25.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-14 11:36:34 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2024-03-13 11:36:13 AM CDT
"Well","Well Position","Cycle Number","FAM","ROX"
"37","D1","40","1318533.9","418904.6"
"37","D1","41","1324099.2","418920.16"
"38","D2","1","72036.83","262682.0"
"38","D2","2","97701.34","412699.8"
"38","D2","3","97977.68","412573.0"
"38","D2","4","98285.4","412598.03"
"38","D2","5","98306.586","412233.66"
"38","D2","6","98290.93","411864.9"
"38","D2","7","98328.03","411646.06"
"38","D2","8","98352.94","411123.34"
"38","D2","9","98730.375","410700.84"
"38","D2","10","98936.05","410345.4"
"38","D2","11","98940.836","409907.44"
"38","D2","12","98878.34","409532.34"
"38","D2","13","98992.61","409206.0"
"38","D2","14","99093.29","408877.16"
"38","D2","15","99038.484","408570.06"
"38","D2","16","98997.79","408145.03"
"38","D2","17","98904.69","407635.2"
"38","D2","18","98954.01","407214.78"
"38","D2","19","99085.625","406643.25"
"38","D2","20","99218.336","406389.8"
"38","D2","21","99511.05","406523.6"
"38","D2","22","99479.78","406393.12"
"38","D2","23","99441.05","406082.22"
"38","D2","24","99394.96","405627.34"
"38","D2","25","99699.664","405333.3"
"38","D2","26","99996.83","405109.75"
"38","D2","27","100168.85","404846.88"
"38","D2","28","100658.39","404617.9"
"38","D2","29","101182.625","404423.38"
"38","D2","30","101803.28","404117.7"
"38","D2","31","102411.6","403669.2"
"38","D2","32","103331.55","403486.53"
"38","D2","33","104561.09","403502.0"
"38","D2","34","106302.24","403117.75"
"38","D2","35","108950.9","402748.5"
"38","D2","36","112631.05","402488.72"
"38","D2","37","117980.61","402010.28"
"38","D2","38","125413.77","401681.62"
"38","D2","39","136074.03","401490.22"
"38","D2","40","151269.77","401321.72"
"38","D2","41","167716.19","401284.0"
"39","D3","1","70416.79","256131.47"
"39","D3","2","113063.016","421950.78"
"39","D3","3","113635.1","422168.38"
"39","D3","4","114110.38","422006.2"
"39","D3","5","114284.31","421689.56"
"39","D3","6","114206.03","421521.5"
"39","D3","7","114147.72","421041.75"
"39","D3","8","114076.24","420566.94"
"39","D3","9","114233.445","419957.06"
"39","D3","10","114312.4","419620.53"
"39","D3","11","114220.266","419581.28"
"39","D3","12","114202.05","419258.97"
"39","D3","13","114159.5","418709.5"
"39","D3","14","114427.74","418439.88"
"39","D3","15","114683.23","418551.34"
"39","D3","16","114831.4","418321.28"
"39","D3","17","115012.33","417939.6"
"39","D3","18","115167.35","417620.66"
"39","D3","19","115458.49","417339.8"
"39","D3","20","115651.336","417163.3"
"39","D3","21","116228.42","417109.75"
"39","D3","22","116706.4","416562.78"
"39","D3","23","117703.82","416198.12"
